"","id","Year","fullCit","count","Source"
"182","Conaway_1990",1990,"Conaway, James. Napa: The Story of an American Eden. Boston and New York: Houghton Mifflin, 1990.",4,"Primary Works"
"183","Conover_1987",1987,"Conover, Ted. Coyotes: A Journey through the Secret World of America's Illegal Aliens. New York: Vintage Books, 1987.",9,"Primary Works"
"184","Conover_2000",2000,"Conover, Ted. NewJack: Guarding Sing Sing. New York: Random House, 2000. ",5,"Primary Works"
"185","Conover_1984",1984,"Conover, Ted. Rolling Nowhere: Riding the Rails with America’s Hoboes. New York: Viking, 1984.",5,"Primary Works"
"186","Conover_1991",1991,"Conover, Ted. Whiteout: Lost In Aspen. New York: Random House, 1991.",8,"Primary Works"
"187","Cramer_2000",2000,"Cramer, Richard Ben. Joe DiMaggio: The Hero's Life. New York: Simon & Schuster, 2000.",5,"Primary Works"
"188","Dash_1996",1996,"Dash, Leon. Rosa Lee: A Mother and Her Family in Urban America. New York: Basic Books, 1996.",5,"Primary Works"
"189","Davidson_1977",1977,"Davidson, Sara. Loose Change: Three Women of the Sixties. Garden City, N.Y.: Doubleday, 1977.",7,"Primary Works"
"190","Davidson_1980",1980,"Davidson, Sara. Real Property. Garden City, N.Y.: Doubleday & Co., 1980.",10,"Primary Works"
"191","Didion_1987",1987,"Didion, Joan. Miami. New York: Simon and Schuster, 1987.",9,"Primary Works"
"192","Didion_1983",1983,"Didion, Joan. Salvador. New York: Simon and Schuster, 1983.",4,"Primary Works"
"193","Didion_1968",1968,"Didion, Joan. Slouching Towards Bethlehem. New York: Farrar, Straus & Giroux, 1968. ",8,"Primary Works"
"194","Didion_1979",1979,"Didion, Joan. The White Album. New York: Simon and Schuster, 1979.",7,"Primary Works"
"195","Dunne_1974",1974,"Dunne, John Gregory. Vegas: A Memoir of a Dark Season. New York: Random House, 1974.",2,"Primary Works"
"196","Ehrenreich_2001",2001,"Ehrenreich, Barbara. Nickel and Dimed: On (Not) Getting By in America. New York: Henry Holt and Co., 2001.",8,"Primary Works"
"197","Ehrlich_1985",1985,"Ehrlich, Gretel. The Solace of Open Spaces. New York: Viking, 1985.",11,"Primary Works"
"198","Fadiman_1997",1997,"Fadiman, Anne. The Spirit Catches You and You Fall Down: A Hmong Child, Her American Doctors, and the Collision of Two Cultures. New York: Farrar, Straus and Giroux, 1997.",4,"Primary Works"
"199","Finnegan_1988",1988,"Finnegan, William. Dateline Soweto: Travels With Black South African Reporters. New York: HarperCollins, 1988.",8,"Primary Works"
"200","Fitzgerald_1986",1986,"Fitzgerald, Frances. Cities on a Hill: A Journey through Contemporary American Cultures. New York: Simon and Schuster, 1986.",7,"Primary Works"
"201","Frady_1980",1980,"Frady, Marshall. Southerners: A Journalist's Odyssey. New York: New American Library, 1980.",10,"Primary Works"
"202","Franklin_1980",1980,"Franklin, Jon. “Mrs. Kelly’s Monster,” in Writing for Story: Craft Secrets of Dramatic Nonfiction by a Two-Time Pulitzer Prize Winner. New York: Atheneum, 1986; originally published in the Baltimore Evening Sun, 1978. ——. Shocktrauma. New York: St. Martin's Press, 1980.",10,"Primary Works"
"203","Frazer_1989",1989,"Frazer, Ian. Great Plains. New York: Farrar, Straus & Giroux, 1989.",10,"Primary Works"
"204","Frazer_2000",2000,"Frazer, Ian. On the Rez. New York: Farrar, Straus, Giroux, 2000.",5,"Primary Works"
"205","Frey_1994",1994,"Frey, Darcy. The Last Shot: City Streets, Basketball Dreams. Boston: Houghton Mifflin, 1994.",3,"Primary Works"
"206","Goldstein_1989",1989,"Goldstein, Richard. Reporting the Counterculture. Boston: Unwin Hyman, 1989. ",10,"Primary Works"
"207","Gorney_1998",1998,"Gorney, Cynthia. Articles Of Faith: A Frontline History of the Abortion Wars. New York: Simon & Schuster, 1998.",5,"Primary Works"
"208","Gray_1987",1987,"Gray, Francine du Plessix. Adam & Eve and the City: Selected Nonfiction. New York: Simon and Schuster, 1987.",9,"Primary Works"
"209","Greene_1991",1991,"Greene, Melissa Fay. Praying for Sheetrock: A Work of Nonfiction. Reading, Mass.: Addison-Wesley Publishing, 1991.",8,"Primary Works"
"210","Halberstam_1985",1985,"Halberstam, David. The Amateurs. New York: William Morrow and Co., 1985. ",11,"Primary Works"
"211","Halberstam_1981",1981,"Halberstam, David. The Breaks of the Game. New York: Alfred A. Knopf, 1981.",4,"Primary Works"
"212","Halberstam_1965",1965,"Halberstam, David. The Making of a Quagmire. New York: Random House, 1965. ",5,"Primary Works"
"213","Hamburger_1983",1983,"Hamburger, Robert. All the Lonely People: Life in a Single Room Occupancy Hotel. New Haven and New York: Ticknor & Fields, 1983.",4,"Primary Works"
"214","Hamill_1980",1980,"Hamill, Pete. The Invisible City: A New York Sketchbook. Drawings by Susan Stillman. New York: Random House, 1980.",10,"Primary Works"
"215","Harr_1995",1995,"Harr, Jonathan. A Civil Action. New York: Random House, 1995.",5,"Primary Works"
"216","Harr_2005",2005,"Harr, Jonathan. The Lost Painting: The Quest for a Caravaggio Masterpiece. New York: Random House, 2005.",5,"Primary Works"
"217","Harrington_1996",1996,"Harrington, Walt. At the Heart of It: Ordinary People, Extraordinary Lives. Columbia: University of Missouri Press, 1996.",5,"Primary Works"
"218","Harrington_1993",1993,"Harrington, Walt. Crossings: A White Man's Journey into Black America. New York: HarperCollins, 1993.",6,"Primary Works"
"219","Hayes_1986",1986,"Hayes, David. No Easy Answers: The Trial and Conviction of Bruce Curtis. New York: Viking, 1986.",7,"Primary Works"
"220","Hayes_1992",1992,"Hayes, David. Power and Influence: The Globe and Mail and the News Revolution. Toronto: Key Porter Books, 1992.",8,"Primary Works"
"221","Herr_1977",1977,"Herr, Michael. Dispatches. New York: Alfred A. Knopf, 1977. ",7,"Primary Works"
"222","Hoagland_1988",1988,"Hoagland, Edward. The Edward Hoagland Reader. Edited and with an introduction by Geoffrey Wolff. New York: Random House, 1979. Hubbell, Sue. A Book of Bees. New York: Random House, 1988.",8,"Primary Works"
"223","Junger_2006",2006,"Junger, Sebastian. A Death in Belmont. New York: W.W. Norton, 2006. ",2,"Primary Works"
"224","Junger_1997",1997,"Junger, Sebastian. The Perfect Storm: A True Story of Men Against the Sea. W.W. Norton, 1997. ",4,"Primary Works"
"225","Kapu_2001",2001,"Kapu ́sci ́nski, Ryszard. Another Day of Life. New York: Harcourt Brace Jovanovich, 1987; Vintage International Edition, 2001.",8,"Primary Works"
"226","Kapu_2001",2001,"Kapu ́sci ́nski, Ryszard. The Shadow of the Sun. Translated from the Polish by Klara Glowczewska. New York and Toronto: Alfred A. Knopf, 2001.",8,"Primary Works"
"227","Kidder_1989",1989,"Kidder, Tracy. Among Schoolchildren. Boston: Houghton Mifflin, 1989. ",10,"Primary Works"
"228","Kidder_1999",1999,"Kidder, Tracy. Home Town. New York: Random House, 1999.",3,"Primary Works"
"229","Kidder_1985",1985,"Kidder, Tracy. House. Boston: Houghton Mifflin, 1985.",11,"Primary Works"
"230","Kidder_2003",2003,"Kidder, Tracy. Mountains Beyond Mountains. New York: Random House, 2003.",5,"Primary Works"
"231","Kidder_1993",1993,"Kidder, Tracy. Old Friends. Boston: Houghton Mifflin, 1993.",6,"Primary Works"
"232","Kidder_1981",1981,"Kidder, Tracy. The Soul of a New Machine. Boston: Little, Brown and Co., 1981. ",4,"Primary Works"
"233","Klinkenborg_1991",1991,"Klinkenborg, Verlyn. The Last Fine Time. New York: Alfred A. Knopf, 1991. ",8,"Primary Works"
"234","Klinkenborg_1986",1986,"Klinkenborg, Verlyn. Making Hay. New York: Lyons Books,1986.",7,"Primary Works"
"235","Kramer_1988",1988,"Kramer, Jane. Europeans. New York: Farrar, Straus & Giroux, 1988.",8,"Primary Works"
"236","Kramer_1977",1977,"Kramer, Jane. The Last Cowboy. New York: Harper & Row, 1977.",7,"Primary Works"
"237","Kramer_2002",2002,"Kramer, Jane. Lone Patriot: The Short Career of an American Militiaman. New York: Pantheon, 2002.",3,"Primary Works"
"238","Kramer_1980",1980,"Kramer, Jane. Unsettling Europe. New York: Random House, 1980.",10,"Primary Works"
"239","Krakauer_1997",1997,"Krakauer, Jon. Into Thin Air: A Personal Account of the Mt. Everest Disaster. New York: Villard,1997.",4,"Primary Works"
"240","Krakauer_2003",2003,"Krakauer, Jon. Under the Banner of Heaven: A Story of Violent Faith. New York: Doubleday, 2003.",5,"Primary Works"
"241","Kramer_1983",1983,"Kramer, Mark. Invasive Procedures: A Year in the World of Two Surgeons. New York: Harper & Row, 1983.",4,"Primary Works"
"242","Kramer_1980",1980,"Kramer, Mark. Three Farms: Making Milk, Meat and Money from the American Soil. Boston: Little, Brown and Co., 1980.",10,"Primary Works"
"243","Kramer_1996",1996,"Kramer, Mark. Travels with a Hungry Bear: A Journey to the Russian Heartland. Boston and New York: Houghton Mifflin, 1996.",5,"Primary Works"
"244","Langewiesche_2002",2002,"Langewiesche, William. American Ground: Unbuilding the World Trade Center. New York: North Point Press, 2002.",3,"Primary Works"
"245","Lernoux_1982",1982,"Lernoux, Penny. Cry of the People. Garden City, N.Y.: Doubleday, 1982. ",5,"Primary Works"
"246","Levine_1982",1982,"Levine, Richard M. Bad Blood: A Family Murder in Marin County. New York: Random House, 1982.",5,"Primary Works"
"247","Lewis_1989",1989,"Lewis, Michael. Liar's Poker: Rising Through the Wreckage on Wall Street. New York: W. W. Norton & Co., 1989.",10,"Primary Works"
"248","Lewis_1999",1999,"Lewis, Michael. The New New Thing: A Silicon Valley Story. New York: W. W. Norton & Co., 1999.",3,"Primary Works"
"249","Lewis_2003",2003,"Lewis, Michael. Moneyball: The Art of Winning an Unfair Game. New York: W. W. Norton & Co., 2003.",5,"Primary Works"
"250","Lopez_1986",1986,"Lopez, Barry. Arctic Dreams: Imagination and Desire in a Northern Landscape. New York: Charles Scribner's Sons, 1986.",7,"Primary Works"
"251","Lukas_1985",1985,"Lukas, J. Anthony. Common Ground: A Turbulent Decade in the Lives of Three American Families. New York: Alfred A. Knopf, 1985.",11,"Primary Works"
"252","Maclean_1992",1992,"Maclean, Norman. Young Men and Fire. Chicago: University Of Chicago Press, 1992.",8,"Primary Works"
"253","Mahoney_1993",1993,"Mahoney, Rosemary. Whoredom in Kimmage: Irish Women Coming of Age. Boston: Houghton Mifflin,1993.",6,"Primary Works"
"254","Mailer_1968",1968,"Mailer, Norman. The Armies of the Night: History as a Novel; The Novel as History. New York: New American Library, 1968.",8,"Primary Works"
"255","Mailer_1979",1979,"Mailer, Norman. The Executioner's Song. Boston: Little, Brown & Co., 1979.",7,"Primary Works"
"256","Mailer_1976",1976,"Mailer, Norman. Some Honorable Men: Political Conventions 1960-1972. Boston: Little, Brown & Co., 1976. Contains “Superman Comes to the Supermarket.” ",6,"Primary Works"
"257","Marcus_2005",2005,"Marcus, David L. What It Takes to Pull Me Through. Boston and New York: Houghton Mifflin Co., 2005.",5,"Primary Works"
"258","Ma_1986",1986,"Márquez, Gabriel García. The Story of a Shipwrecked Sailor. New York: Alfred A. Knopf, 1986.",7,"Primary Works"
"259","Matthews_2001",2001,"Matthews, Anne. Wild Nights: Nature Returns to the City. New York: North Point Press, 2001.",8,"Primary Works"
"260","Matthiessen_1967",1967,"Matthiessen, Peter. The Snow Leopard. New York: Viking, 1978. McCarthy, Mary. Vietnam. New York: Harcourt, Brace & World, 1967. ",6,"Primary Works"
"261","Matthiessen_1968",1968,"Matthiessen, Peter. Hanoi. London: Weidenfeld and Nicholson, 1968.",8,"Primary Works"
"262","McGinniss_1969",1969,"McGinniss, Joe. The Selling of the President 1968. New York: Trident Press, 1969.",2,"Primary Works"
"263","McKelway_1969",1969,"McKelway, St. Clair. The Big Little Man from Brooklyn. Boston: Houghton Mifflin Co., 1969",2,"Primary Works"
"264","McKelway_1962",1962,"McKelway, St. Clair. The Edinburgh Caper; A One-Man International Plot. New York: Holt, Rinehart and Winston, 1962.",3,"Primary Works"
"265","McPhee_1998",1998,"McPhee, John. Annals of the Former World. New York: Farrar, Straus & Giroux, 1998.",5,"Primary Works"
"266","McPhee_1977",1977,"McPhee, John. Coming Into the Country. New York: Farrar, Straus & Giroux, 1977.",7,"Primary Works"
"267","McPhee_1989",1989,"McPhee, John. The Control of Nature. New York: Farrar, Straus & Giroux, 1989.",10,"Primary Works"
"268","McPhee_1971",1971,"McPhee, John. Encounters with the Archdruid. New York: Farrar, Straus, & Giroux, 1971. ",5,"Primary Works"
"269","McPhee_1976",1976,"McPhee, John. The John McPhee Reader. Edited, with an introduction, by William Howarth. New York: Farrar, Straus, & Giroux, 1976.",6,"Primary Works"
"270","McPhee_1966",1966,"McPhee, John. Oranges. New York: Farrar, Straus & Giroux, 1966.",5,"Primary Works"
"271","McPhee_2006",2006,"McPhee, John. Uncommon Carriers. New York: Farrar, Straus & Giroux, 2006.",2,"Primary Works"
"272","Mitchell_1965",1965,"Mitchell, Joseph. Joe Gould's Secret. New York: Viking, 1965.",5,"Primary Works"
"273","Mitchell_2001",2001,"Mitchell, Joseph. My Ears Are Bent. New York: Sheridan House, 1938; reprinted by Pantheon Books, 2001.",8,"Primary Works"
"274","Mitchell_1992",1992,"Mitchell, Joseph. Up in the Old Hotel. New York: Pantheon Books, 1992.",8,"Primary Works"
"275","Morgan_1979",1979,"Morgan, Dan. Merchants of Grain. New York: Viking, 1979.",7,"Primary Works"
"276","Naipaul_1980",1980,"Naipaul, Shiva. Journey to Nowhere: A New World Tragedy. New York: Simon and Schuster, 1981; first published in Great Britain as Black and White, 1980.",10,"Primary Works"
"277","Naipaul_1989",1989,"Naipaul, V. S. A Turn in the South. New York: Alfred A. Knopf, 1989.",10,"Primary Works"
"278","Olsen_1978",1978,"Olsen, Tillie. Silences. New York: Delta/Seymour Lawrence, 1989. Originally published in 1978.",3,"Primary Works"
"279","Orlean_1998",1998,"Orlean, Susan. The Orchid Thief. New York: Random House, 1998.",5,"Primary Works"
"280","Orlean_2001",2001,"Orlean, Susan. The Bullfighter Checks Her Makeup: My Encounters with Extraordinary People. New York: Random House, 2001.",8,"Primary Works"
"281","Paterniti_2000",2000,"Paterniti, Michael. Driving Mr. Albert: A Trip Across America with Einstein’s Brain. New York: Dial Press, 2000.",5,"Primary Works"
"282","Plimpton_1966",1966,"Plimpton, George. Paper Lion. New York: HarperCollins, 1966.",5,"Primary Works"
"283","Preston_2002",2002,"Preston, Richard. The Demon in the Freezer: A True Story. New York: Random House, 2002.",3,"Primary Works"
"284","Preston_1987",1987,"Preston, Richard. First Light: The Search for the Edge of the Universe. New York: Atlantic Monthly Press, 1987.",9,"Primary Works"
"285","Preston_1994",1994,"Preston, Richard. The Hot Zone. New York: Random House, 1994.",3,"Primary Works"
"286","Quammen_1985",1985,"Quammen, David. Natural Acts: A Sidelong View of Science and Nature. New York: Schocken Books,1985.",11,"Primary Works"
"287","Quammen_1996",1996,"Quammen, David. The Song of the Dodo: Island Biogeography in an Age of Extinctions. New York: Scribner, 1996.",5,"Primary Works"
"288","Raban_1996",1996,"Raban, Jonathan. Bad Land: An American Romance. New York: Pantheon, 1996.",5,"Primary Works"
"289","Raban_1998",1998,"Raban, Jonathan. Old Glory: A Voyage Down the Mississippi. New York: Vintage Reprint edition, 1998.",5,"Primary Works"
"290","Rhodes_1989",1989,"Rhodes, Richard. Farm: A Year in the Life of an American Farmer. New York: Simon and Schuster, 1989.",10,"Primary Works"
"291","Rhodes_1986",1986,"Rhodes, Richard. The Making of the Atomic Bomb. New York: Simon and Schuster, 1986. ",7,"Primary Works"
"292","Sacco_2001",2001,"Sacco, Joe. Palestine. With an introduction by Edward Said. Seattle: Fantagraphics Books, 2001.",8,"Primary Works"
"293","Sager_2007",2007,"Sager, Mike. The Revenge of the Donut Boys: True Stories of Fame, Lust, Survival, and Multiple Personalities. New York: Thunder’s Mouth Press, 2007. ",1,"Primary Works"
"294","Sager_2004",2004,"Sager, Mike. Scary Monsters and Super Freaks: Stories of Sex, Drugs, Rock ’N’ Roll and Murder. New York: Thunder’s Mouth Press, 2004.",4,"Primary Works"
"295","Sheehan_1982",1982,"Sheehan, Susan. Is There No Place on Earth for Me? Boston: Houghton Mifflin, 1982.",5,"Primary Works"
"296","Sheehan_1984",1984,"Sheehan, Susan. Kate Quinton's Days. Boston: Houghton Mifflin, 1984.",5,"Primary Works"
"297","Sheehan_1976",1976,"Sheehan, Susan. A Welfare Mother. New York: New American Library, 1976.",6,"Primary Works"
"298","Sims_1978",1978,"Sims, Patsy. The Klan. Lexington: University Press of Kentucky, reprint 1996; originally published 1978.",3,"Primary Works"
"299","Sims_1988",1988,"Sims, Patsy. Can Somebody Shout Amen!: Inside the Tents and Tabernacles of American Revivalists. Lexington: University Press of Kentucky, reprint 1996; originally published 1988.",8,"Primary Works"
"300","Singer_2005",2005,"Singer, Mark. Character Studies: Encounters with the Curiously Obsessed. Boston and New York: Houghton Mifflin, 2005.",5,"Primary Works"
"301","Singer_1985",1985,"Singer, Mark. Funny Money. New York: Alfred A. Knopf, 1985.",11,"Primary Works"
"302","Singer_1989",1989,"Singer, Mark. Mr. Personality: Profiles and Talk Pieces. New York: Alfred A. Knopf, 1989.",10,"Primary Works"
"303","Snow_1962",1962,"Snow, Edgar. Red China Today. New York: Random House, 1970. Orignally published as The Other Side of the River in 1962.",3,"Primary Works"
"304","Steinbeck_1962",1962,"Steinbeck, John. Travels with Charley; In Search of America. New York: Viking, 1962.",3,"Primary Works"
"305","Talese_1972",1972,"Talese, Gay. Honor Thy Father. New York: Fawcett-World, 1972.",2,"Primary Works"
"306","Talese_1966",1966,"Talese, Gay. The Kingdom and The Power. New York: World Publishing Co., 1966. ",5,"Primary Works"
"307","Talese_1980",1980,"Talese, Gay. Thy Neighbor's Wife. Garden City, N.Y.: Doubleday, 1980.",10,"Primary Works"
"308","Thompson_1971",1971,"Thompson, Hunter. Fear and Loathing in Las Vegas: A Savage Journey to the Heart of the American Dream. New York: Popular Library, 1971.",5,"Primary Works"
"309","Thompson_1979",1979,"Thompson, Hunter. The Great Shark Hunt. New York: Fawcett, 1979.",7,"Primary Works"
"310","Thompson_1967",1967,"Thompson, Hunter. Hell’s Angels. New York: Random House, 1967.",6,"Primary Works"
"311","Tosches_2001",2001,"Tosches, Nick. Where Dead Voices Gather. Boston: Little, Brown and Co., 2001. ",8,"Primary Works"
"312","Trillin_1991",1991,"Trillin, Calvin. American Stories. New York: Ticknor & Fields, 1991.",8,"Primary Works"
"313","Tosches_1984",1984,"Tosches, Nick. Killings. New York: Ticknor & Fields, 1984.",5,"Primary Works"
"314","Tosches_1971",1971,"Tosches, Nick. U.S. Journal. New York: Dutton, 1971.",5,"Primary Works"
"315","Ungar_1995",1995,"Ungar, Sanford J. Fresh Blood: The New American Immigrants. New York: Simon & Schuster, 1995.",5,"Primary Works"
"316","Wambaugh_1973",1973,"Wambaugh, Joseph. The Onion Field. New York: Delacorte Press, 1973.",2,"Primary Works"
"317","Werth_1998",1998,"Werth, Barry. Damages: One Family’s Legal Struggles in the World of Medicine. New York: Simon and Schuster, 1998.",5,"Primary Works"
"318","Weschler_1988",1988,"Weschler, Lawrence. Shapinsky's Karma, Bogg's Bills: And Other True-Life Tales. New York: North Point Press, 1988.",8,"Primary Works"
"319","White_1961",1961,"White, Theodore H. The Making of the President 1960. New York: Atheneum, 1961.",4,"Primary Works"
"320","Whynott_2004",2004,"Whynott, Douglas. A Country Practice: Scenes from the Veterinary Life. New York: North Point Press, 2004.",4,"Primary Works"
"321","Whynott_1995",1995,"Whynott, Douglas. Following the Bloom: Across America with the Migratory Beekeepers. Mechanicsburg, Penn.: Stackpole Books, 1991; Penguin/Tarcher, 2004. ——. Giant Bluefin. New York: Farrar, Straus and Giroux, 1995.",5,"Primary Works"
"322","Whynott_1975",1975,"Whynott, Douglas. A Unit of Water. A Unit of Time: Joel White’s Last Boat. New York: Doubleday, 1999; Washington Square Press, Pocket Books, 2000. Wicker, Tom. A Time to Die. New York: Quadrangle, 1975.",2,"Primary Works"
"323","Wideman_1984",1984,"Wideman, John Edgar. Brothers & Keepers. New York: Holt Rinehart and Winston, 1984.",5,"Primary Works"
"324","Wilkinson_1982",1982,"Wilkinson, Alec. Midnights: A Year with the Wellfleet Police. New York: Random House, 1982.",5,"Primary Works"
"325","Wolfe_1970",1970,"Wolfe, Tom. The Electric Kool-Aid Acid Test. New York: Farrar, Straus & Giroux, 1970.",4,"Primary Works"
"326","Wolfe_2000",2000,"Wolfe, Tom. Hooking Up. New York: Farrar Straus Giroux, 2000.",5,"Primary Works"
"327","Wolfe_1965",1965,"Wolfe, Tom. The Kandy-Kolored Tangerine-Flake Streamline Baby. New York: Farrar, Straus & Giroux, 1965.",5,"Primary Works"
"328","Wolfe_1968",1968,"Wolfe, Tom. The Pump House Gang. New York: Farrar, Straus & Giroux, 1968.",8,"Primary Works"
"329","Wolfe_1970",1970,"Wolfe, Tom. Radical Chic and Mau-Mauing the Flak Catchers. New York: Farrar, Straus & Giroux, 1970.",4,"Primary Works"
"330","Wolfe_1979",1979,"Wolfe, Tom. The Right Stuff. New York: Farrar, Straus & Giroux, 1979.",7,"Primary Works"
"331","Zinsser_1984",1984,"Zinsser, William. Willie and Dwike: An American Profile. New York: Harper & Row, 1984.",5,"Primary Works"
"332","Abrahamson_2008",2008,"Abrahamson, David. “An Inconvenient Legacy: The Jungle and the Immigrant Imperative.” Journalism History 34 (Fall 2008): 163–65.",20,"Critical Works"
"333","Alexander_2009",2009,"Alexander, Robert. “‘My Story Is Always Escaping Into other People’: Subjectivity, Objectivity, and the Double in American Literary Journalism.” Literary Journalism Studies 1, no. 1 (Spring 2009): 57–66.",11,"Critical Works"
"334","Anderson_1987",1987,"Anderson, Chris. Style as Argument: Contemporary American Nonfiction. Carbondale, Ill.: Southern Illinois University Press, 1987.",3,"Critical Works"
"335","Anderson_1989",1989,"Anderson, Chris, ed. Literary Nonfiction: Theory, Criticism, Pedagogy. Carbondale, Ill.: Southern Illinois University Press, 1989.",6,"Critical Works"
"336","Applegate_1996",1996,"Applegate, Edd, ed. Literary Journalism: A Biographical Dictionary of Writers and Editors. Westport, Conn.: Greenwood Press, 1996.",3,"Critical Works"
"337","Asch_1935",1935,"Asch, Nathan. Review. The New Republic 4 Sept. 1935: 108.",3,"Critical Works"
"338","Ashdown_1992",1992,"Ashdown, Paul. “Ernest Hemingway.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 187–196.",41,"Critical Works"
"339","Ashdown_1992",1992,"Ashdown, Paul. “James Agee.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 197–204.",41,"Critical Works"
"340","Ball_1957",1957,"Ball, John. Introduction. Children of the Levee by Lafcadio Hearn. Ed. O. W. Frost. [Lexington, Ky.:] University of Kentucky Press, 1957. 1–8.",1,"Critical Works"
"341","Banks_1992",1992,"Banks, Anna. “Norman Mailer.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 297–306.",41,"Critical Works"
"342","Bass_1992",1992,"Bass, Sharon. “John McPhee.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 343–52.",41,"Critical Works"
"343","Bartley_2009",2009,"Bartley, Aryn. “The Citizen-Witness and the Politics of Shame: Walker Evans and James Agee’s Let Us Now Praise Famous Men.” Literary Journalism Studies 1, no. 2 (Fall 2009): 23–41.",11,"Critical Works"
"344","Berger_1975",1975,"Berger, Arthur A. “Am I a Siamese Twin?” Journal of Popular Culture 9, no. 1 (Summer 1975): 162/64-67/69. 20th century; Tom Wolfe, Gay Talese; New Journalism; Magazines, newspapers; Popular culture.",31,"Critical Works"
"345","Berner_1992",1992,"Berner, R. Thomas. “C. D. B. Bryan.” A Sourcebook of American Literary Journalism: Representative Writers in an Emerging Genre. Ed. Thomas B. Connery. New York: Greenwood Press, 1992. 317–22.",41,"Critical Works"
"346","Berner_1999",1999,"Berner, R. Thomas. The Literature of Journalism: Text and Context. State College, Penn.: Strata Publishing, Inc. 1999.",3,"Critical Works"
"347","Berner_1986",1986,"Berner, R. Thomas. Literary Newswriting: The Death of an Oxymoron. Journalism Monographs 99. Columbia, S.C.: Association for Education in Journalism and Mass Communication, Oct. 1986.",4,"Critical Works"
"348","Berner_1982",1982,"Berner, R. Thomas. “Literary Notions and Utilitarian Reality.” Style 16 (Fall 1982): 452–57.",1,"Critical Works"
